mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,mean_imputed_mpg,mean_imputed_cylinders,mean_imputed_displacement,mean_imputed_weight,mean_imputed_acceleration,mean_imputed_model_year,mean_imputed_origin,median_imputed_mpg,median_imputed_cylinders,median_imputed_displacement,median_imputed_weight,median_imputed_acceleration,median_imputed_model_year,median_imputed_origin,constant_imputed_mpg,constant_imputed_cylinders,constant_imputed_displacement,constant_imputed_weight,constant_imputed_acceleration,constant_imputed_model_year,constant_imputed_origin,most_frequent_imputed_horsepower,most_frequent_imputed_name,constant_imputed_horsepower,constant_imputed_name,custom_value_imputed_horsepower,custom_value_imputed_name
18.0,8,307.0,130,3504,12.0,70,1,chevrolet chevelle malibu,18.0,8.0,307.0,3504.0,12.0,70.0,1.0,18.0,8.0,307.0,3504.0,12.0,70.0,1.0,18.0,8.0,307.0,3504.0,12.0,70.0,1.0,130,chevrolet chevelle malibu,130,chevrolet chevelle malibu,130,chevrolet chevelle malibu
15.0,8,350.0,165,3693,11.5,70,1,buick skylark 320,15.0,8.0,350.0,3693.0,11.5,70.0,1.0,15.0,8.0,350.0,3693.0,11.5,70.0,1.0,15.0,8.0,350.0,3693.0,11.5,70.0,1.0,165,buick skylark 320,165,buick skylark 320,165,buick skylark 320
18.0,8,318.0,150,3436,11.0,70,1,plymouth satellite,18.0,8.0,318.0,3436.0,11.0,70.0,1.0,18.0,8.0,318.0,3436.0,11.0,70.0,1.0,18.0,8.0,318.0,3436.0,11.0,70.0,1.0,150,plymouth satellite,150,plymouth satellite,150,plymouth satellite
16.0,8,304.0,150,3433,12.0,70,1,amc rebel sst,16.0,8.0,304.0,3433.0,12.0,70.0,1.0,16.0,8.0,304.0,3433.0,12.0,70.0,1.0,16.0,8.0,304.0,3433.0,12.0,70.0,1.0,150,amc rebel sst,150,amc rebel sst,150,amc rebel sst
17.0,8,302.0,140,3449,10.5,70,1,ford torino,17.0,8.0,302.0,3449.0,10.5,70.0,1.0,17.0,8.0,302.0,3449.0,10.5,70.0,1.0,17.0,8.0,302.0,3449.0,10.5,70.0,1.0,140,ford torino,140,ford torino,140,ford torino
15.0,8,429.0,198,4341,10.0,70,1,ford galaxie 500,15.0,8.0,429.0,4341.0,10.0,70.0,1.0,15.0,8.0,429.0,4341.0,10.0,70.0,1.0,15.0,8.0,429.0,4341.0,10.0,70.0,1.0,198,ford galaxie 500,198,ford galaxie 500,198,ford galaxie 500
14.0,8,454.0,220,4354,9.0,70,1,chevrolet impala,14.0,8.0,454.0,4354.0,9.0,70.0,1.0,14.0,8.0,454.0,4354.0,9.0,70.0,1.0,14.0,8.0,454.0,4354.0,9.0,70.0,1.0,220,chevrolet impala,220,chevrolet impala,220,chevrolet impala
14.0,8,440.0,215,4312,8.5,70,1,plymouth fury iii,14.0,8.0,440.0,4312.0,8.5,70.0,1.0,14.0,8.0,440.0,4312.0,8.5,70.0,1.0,14.0,8.0,440.0,4312.0,8.5,70.0,1.0,215,plymouth fury iii,215,plymouth fury iii,215,plymouth fury iii
14.0,8,455.0,225,4425,10.0,70,1,pontiac catalina,14.0,8.0,455.0,4425.0,10.0,70.0,1.0,14.0,8.0,455.0,4425.0,10.0,70.0,1.0,14.0,8.0,455.0,4425.0,10.0,70.0,1.0,225,pontiac catalina,225,pontiac catalina,225,pontiac catalina
15.0,8,390.0,190,3850,8.5,70,1,amc ambassador dpl,15.0,8.0,390.0,3850.0,8.5,70.0,1.0,15.0,8.0,390.0,3850.0,8.5,70.0,1.0,15.0,8.0,390.0,3850.0,8.5,70.0,1.0,190,amc ambassador dpl,190,amc ambassador dpl,190,amc ambassador dpl
